application_id,total_assets,total_liabilities,net_worth,assets_breakdown,liabilities_breakdown,liquid_assets,fixed_assets
APP-2024-0001,157067.5,155866.5,1201.0,"{'Cash and Bank Accounts': 9524.0, 'Investment Accounts': 37405.0, 'Property/Real Estate': 89781.5, 'Personal Items': 16205.5, 'Other Assets': 4151.5}",{'Mortgage': 155866.5},46929.0,110138.5
APP-2024-0002,132666.0,18523.0,114143.0,"{'Cash and Bank Accounts': 46794.0, 'Investment Accounts': 16840.0, 'Vehicle': 26966.0, 'Personal Items': 40245.0, 'Other Assets': 1821.0}","{'Credit Card Debt': 6171.0, 'Personal Loan': 9941.0, 'Car Loan': 2411.0}",63634.0,69032.0
APP-2024-0003,2101217.5,520005.0,1581212.5,"{'Cash and Bank Accounts': 101607.5, 'Investment Accounts': 56802.5, 'Property/Real Estate': 1598882.5, 'Vehicle': 263055.0, 'Personal Items': 55372.5, 'Other Assets': 25497.5}","{'Credit Card Debt': 39980.0, 'Personal Loan': 63850.0, 'Car Loan': 161340.0, 'Mortgage': 254835.0}",158410.0,1942807.5
APP-2024-0004,108995.0,0.0,108995.0,"{'Cash and Bank Accounts': 41388.0, 'Investment Accounts': 45224.0, 'Personal Items': 14932.0, 'Other Assets': 7451.0}",{},86612.0,22383.0
APP-2024-0005,131802.0,35461.5,96340.5,"{'Cash and Bank Accounts': 19299.5, 'Investment Accounts': 30873.5, 'Vehicle': 59842.5, 'Personal Items': 21786.5}","{'Personal Loan': 8879.5, 'Car Loan': 26190.5, 'Other Debts': 391.5}",50173.0,81629.0
APP-2024-0006,59976.5,17143.5,42833.0,"{'Cash and Bank Accounts': 24930.5, 'Investment Accounts': 4194.5, 'Vehicle': 21260.5, 'Personal Items': 9591.0}","{'Personal Loan': 9046.5, 'Car Loan': 8097.0}",29125.0,30851.5
APP-2024-0007,68901.0,18512.5,50388.5,"{'Cash and Bank Accounts': 4935.0, 'Investment Accounts': 30609.0, 'Vehicle': 11435.5, 'Personal Items': 21921.5}","{'Credit Card Debt': 6361.0, 'Personal Loan': 6559.0, 'Car Loan': 5592.5}",35544.0,33357.0
APP-2024-0008,471440.0,338677.5,132762.5,"{'Cash and Bank Accounts': 89045.0, 'Investment Accounts': 169977.5, 'Property/Real Estate': 122460.0, 'Personal Items': 89957.5}","{'Personal Loan': 32677.5, 'Mortgage': 306000.0}",259022.5,212417.5
APP-2024-0009,120184.0,4712.0,115472.0,"{'Cash and Bank Accounts': 13554.0, 'Investment Accounts': 63433.0, 'Vehicle': 29473.0, 'Personal Items': 13724.0}","{'Credit Card Debt': 3255.0, 'Car Loan': 1457.0}",76987.0,43197.0
APP-2024-0010,2347475.0,1484632.5,862842.5,"{'Cash and Bank Accounts': 51860.0, 'Investment Accounts': 34027.5, 'Property/Real Estate': 2032370.0, 'Vehicle': 187572.5, 'Personal Items': 41645.0}","{'Credit Card Debt': 8150.0, 'Car Loan': 158437.5, 'Mortgage': 1308870.0, 'Other Debts': 9175.0}",85887.5,2261587.5
APP-2024-0011,517272.5,155897.5,361375.0,"{'Cash and Bank Accounts': 76572.5, 'Investment Accounts': 32645.0, 'Vehicle': 320962.5, 'Personal Items': 64955.0, 'Other Assets': 22137.5}","{'Credit Card Debt': 60810.0, 'Car Loan': 95087.5}",109217.5,408055.0
APP-2024-0012,120121.0,44458.5,75662.5,"{'Cash and Bank Accounts': 14325.0, 'Investment Accounts': 18916.5, 'Vehicle': 74208.5, 'Personal Items': 6523.5, 'Other Assets': 6147.5}","{'Credit Card Debt': 11123.5, 'Personal Loan': 20559.0, 'Car Loan': 12776.0}",33241.5,86879.5
APP-2024-0013,646840.0,201100.0,445740.0,"{'Cash and Bank Accounts': 70315.0, 'Investment Accounts': 195590.0, 'Vehicle': 353622.5, 'Personal Items': 25797.5, 'Other Assets': 1515.0}","{'Credit Card Debt': 10612.5, 'Personal Loan': 70185.0, 'Car Loan': 120302.5}",265905.0,380935.0
APP-2024-0014,1049162.0,680095.0,369067.0,"{'Cash and Bank Accounts': 49130.0, 'Investment Accounts': 81336.0, 'Property/Real Estate': 873061.0, 'Personal Items': 45635.0}","{'Personal Loan': 80442.0, 'Mortgage': 599653.0}",130466.0,918696.0
APP-2024-0015,58017.0,0.0,58017.0,"{'Cash and Bank Accounts': 38734.0, 'Investment Accounts': 1777.0, 'Personal Items': 17506.0}",{},40511.0,17506.0
APP-2024-0016,429220.0,140112.0,289108.0,"{'Cash and Bank Accounts': 30423.0, 'Investment Accounts': 7871.0, 'Property/Real Estate': 371663.0, 'Personal Items': 19263.0}","{'Credit Card Debt': 18953.0, 'Personal Loan': 29034.0, 'Mortgage': 92125.0}",38294.0,390926.0
APP-2024-0017,68767.5,18096.0,50671.5,"{'Cash and Bank Accounts': 9502.0, 'Investment Accounts': 36055.5, 'Vehicle': 12658.0, 'Personal Items': 10552.0}","{'Credit Card Debt': 9230.5, 'Car Loan': 8865.5}",45557.5,23210.0
APP-2024-0018,932662.0,450820.0,481842.0,"{'Cash and Bank Accounts': 32855.0, 'Investment Accounts': 87004.0, 'Property/Real Estate': 764587.0, 'Personal Items': 48216.0}","{'Credit Card Debt': 17250.0, 'Personal Loan': 30529.0, 'Mortgage': 403041.0}",119859.0,812803.0
APP-2024-0019,245130.0,27170.0,217960.0,"{'Cash and Bank Accounts': 106830.0, 'Investment Accounts': 59535.0, 'Personal Items': 78765.0}",{'Other Debts': 27170.0},166365.0,78765.0
APP-2024-0020,197468.0,40945.0,156523.0,"{'Cash and Bank Accounts': 10088.0, 'Investment Accounts': 25681.0, 'Vehicle': 138017.0, 'Personal Items': 23682.0}","{'Credit Card Debt': 13819.0, 'Car Loan': 27126.0}",35769.0,161699.0
APP-2024-0021,139060.0,88612.0,50448.0,"{'Cash and Bank Accounts': 10944.0, 'Investment Accounts': 46557.5, 'Vehicle': 56943.0, 'Personal Items': 24615.5}","{'Credit Card Debt': 8678.5, 'Personal Loan': 46684.0, 'Car Loan': 29858.0, 'Other Debts': 3391.5}",57501.5,81558.5
APP-2024-0022,473165.0,175462.5,297702.5,"{'Cash and Bank Accounts': 96927.5, 'Investment Accounts': 82550.0, 'Vehicle': 164347.5, 'Personal Items': 98520.0, 'Other Assets': 30820.0}","{'Credit Card Debt': 27570.0, 'Car Loan': 147892.5}",179477.5,293687.5
APP-2024-0023,270652.0,14972.0,255680.0,"{'Cash and Bank Accounts': 35277.0, 'Investment Accounts': 53528.0, 'Vehicle': 136735.0, 'Personal Items': 22590.0, 'Other Assets': 22522.0}",{'Car Loan': 14972.0},88805.0,181847.0
APP-2024-0024,118923.0,58250.0,60673.0,"{'Cash and Bank Accounts': 9117.5, 'Investment Accounts': 24607.5, 'Vehicle': 73777.0, 'Personal Items': 11421.0}","{'Credit Card Debt': 9040.0, 'Personal Loan': 24733.5, 'Car Loan': 24476.5}",33725.0,85198.0
APP-2024-0025,83973.0,90423.0,-6450.0,"{'Cash and Bank Accounts': 49300.0, 'Investment Accounts': 2999.0, 'Personal Items': 31674.0}",{'Personal Loan': 90423.0},52299.0,31674.0
APP-2024-0026,116655.0,49158.0,67497.0,"{'Cash and Bank Accounts': 20681.0, 'Investment Accounts': 76629.0, 'Personal Items': 19345.0}","{'Credit Card Debt': 11229.0, 'Personal Loan': 37929.0}",97310.0,19345.0
APP-2024-0027,216845.0,11352.0,205493.0,"{'Cash and Bank Accounts': 43347.0, 'Investment Accounts': 69574.0, 'Vehicle': 45863.0, 'Personal Items': 40215.0, 'Other Assets': 17846.0}","{'Credit Card Debt': 9767.0, 'Car Loan': 1585.0}",112921.0,103924.0
APP-2024-0028,132893.0,71186.0,61707.0,"{'Cash and Bank Accounts': 41343.0, 'Investment Accounts': 68638.0, 'Personal Items': 22912.0}","{'Credit Card Debt': 16131.0, 'Personal Loan': 55055.0}",109981.0,22912.0
APP-2024-0029,111392.0,40194.5,71197.5,"{'Cash and Bank Accounts': 16953.0, 'Investment Accounts': 17032.0, 'Vehicle': 50304.0, 'Personal Items': 22944.5, 'Other Assets': 4158.5}","{'Personal Loan': 7292.5, 'Car Loan': 32902.0}",33985.0,77407.0
APP-2024-0030,233885.0,222895.0,10990.0,"{'Cash and Bank Accounts': 55152.5, 'Investment Accounts': 55465.0, 'Vehicle': 91757.5, 'Personal Items': 31510.0}","{'Credit Card Debt': 38625.0, 'Car Loan': 184270.0}",110617.5,123267.5
APP-2024-0031,80981.0,10943.0,70038.0,"{'Cash and Bank Accounts': 6667.0, 'Investment Accounts': 54256.0, 'Personal Items': 11029.0, 'Other Assets': 9029.0}",{'Personal Loan': 10943.0},60923.0,20058.0
APP-2024-0032,261430.0,131151.0,130279.0,"{'Cash and Bank Accounts': 17115.0, 'Investment Accounts': 97143.0, 'Vehicle': 116154.0, 'Personal Items': 22374.0, 'Other Assets': 8644.0}","{'Personal Loan': 56317.0, 'Car Loan': 74834.0}",114258.0,147172.0
APP-2024-0033,76348.0,37861.0,38487.0,"{'Cash and Bank Accounts': 12297.0, 'Investment Accounts': 37637.5, 'Vehicle': 12921.5, 'Personal Items': 13492.0}","{'Credit Card Debt': 3343.0, 'Personal Loan': 9378.5, 'Car Loan': 23981.5, 'Other Debts': 1158.0}",49934.5,26413.5
APP-2024-0034,249274.0,121714.0,127560.0,"{'Cash and Bank Accounts': 35023.0, 'Investment Accounts': 44643.0, 'Vehicle': 125294.0, 'Personal Items': 44314.0}","{'Credit Card Debt': 16390.0, 'Personal Loan': 31004.0, 'Car Loan': 74320.0}",79666.0,169608.0
APP-2024-0035,765325.0,263757.5,501567.5,"{'Cash and Bank Accounts': 94782.5, 'Investment Accounts': 203312.5, 'Vehicle': 363665.0, 'Personal Items': 103565.0}","{'Personal Loan': 104382.5, 'Car Loan': 159375.0}",298095.0,467230.0
APP-2024-0036,759120.0,160007.5,599112.5,"{'Cash and Bank Accounts': 111602.5, 'Investment Accounts': 244385.0, 'Vehicle': 315117.5, 'Personal Items': 75450.0, 'Other Assets': 12565.0}",{'Car Loan': 160007.5},355987.5,403132.5
APP-2024-0037,173863.5,109358.5,64505.0,"{'Cash and Bank Accounts': 6780.0, 'Investment Accounts': 10068.5, 'Property/Real Estate': 67482.0, 'Vehicle': 66344.5, 'Personal Items': 23188.5}","{'Car Loan': 28314.0, 'Mortgage': 81044.5}",16848.5,157015.0
APP-2024-0038,195400.0,0.0,195400.0,"{'Cash and Bank Accounts': 113210.0, 'Investment Accounts': 49370.0, 'Personal Items': 32820.0}",{},162580.0,32820.0
APP-2024-0039,198627.5,701897.5,-503270.0,"{'Cash and Bank Accounts': 56237.5, 'Investment Accounts': 4882.5, 'Property/Real Estate': 60795.0, 'Personal Items': 76712.5}","{'Personal Loan': 17832.5, 'Mortgage': 684065.0}",61120.0,137507.5
APP-2024-0040,127627.0,57597.0,70030.0,"{'Cash and Bank Accounts': 15411.0, 'Investment Accounts': 28472.0, 'Vehicle': 50817.0, 'Personal Items': 17165.0, 'Other Assets': 15762.0}","{'Credit Card Debt': 15985.0, 'Car Loan': 41612.0}",43883.0,83744.0
APP-2024-0041,165752.0,16358.0,149394.0,"{'Cash and Bank Accounts': 43731.0, 'Investment Accounts': 7158.0, 'Vehicle': 87608.0, 'Personal Items': 27255.0}",{'Car Loan': 16358.0},50889.0,114863.0
APP-2024-0042,59050.5,49531.5,9519.0,"{'Cash and Bank Accounts': 17762.5, 'Investment Accounts': 18019.5, 'Personal Items': 23268.5}","{'Credit Card Debt': 645.0, 'Personal Loan': 48886.5}",35782.0,23268.5
APP-2024-0043,1175365.0,660817.0,514548.0,"{'Cash and Bank Accounts': 13236.0, 'Investment Accounts': 91397.0, 'Property/Real Estate': 984365.0, 'Vehicle': 42133.0, 'Personal Items': 44234.0}","{'Personal Loan': 54777.0, 'Car Loan': 10325.0, 'Mortgage': 593272.0, 'Other Debts': 2443.0}",104633.0,1070732.0
APP-2024-0044,110301.5,8633.5,101668.0,"{'Cash and Bank Accounts': 2670.0, 'Investment Accounts': 12725.5, 'Vehicle': 72130.0, 'Personal Items': 10888.0, 'Other Assets': 11888.0}","{'Credit Card Debt': 1162.0, 'Car Loan': 6994.0, 'Other Debts': 477.5}",15395.5,94906.0
APP-2024-0045,72303.5,0.0,72303.5,"{'Cash and Bank Accounts': 13967.0, 'Investment Accounts': 44227.0, 'Personal Items': 14109.5}",{},58194.0,14109.5
APP-2024-0046,272572.5,120069.5,152503.0,"{'Cash and Bank Accounts': 4209.0, 'Investment Accounts': 28340.0, 'Property/Real Estate': 207971.0, 'Personal Items': 22296.0, 'Other Assets': 9756.5}","{'Personal Loan': 25890.5, 'Mortgage': 94179.0}",32549.0,240023.5
APP-2024-0047,454675.0,677909.0,-223234.0,"{'Cash and Bank Accounts': 31377.0, 'Investment Accounts': 51308.0, 'Property/Real Estate': 202440.0, 'Vehicle': 135184.0, 'Personal Items': 28657.0, 'Other Assets': 5709.0}","{'Car Loan': 33944.0, 'Mortgage': 643965.0}",82685.0,371990.0
APP-2024-0048,296544.0,54052.0,242492.0,"{'Cash and Bank Accounts': 31805.0, 'Investment Accounts': 52449.0, 'Vehicle': 145706.0, 'Personal Items': 48162.0, 'Other Assets': 18422.0}","{'Credit Card Debt': 2080.0, 'Car Loan': 51972.0}",84254.0,212290.0
APP-2024-0049,311495.0,232041.0,79454.0,"{'Cash and Bank Accounts': 5481.0, 'Investment Accounts': 22485.0, 'Property/Real Estate': 205124.0, 'Vehicle': 52729.0, 'Personal Items': 24141.0, 'Other Assets': 1535.0}","{'Credit Card Debt': 11879.0, 'Personal Loan': 17734.5, 'Car Loan': 6979.0, 'Mortgage': 195448.5}",27966.0,283529.0
APP-2024-0050,157877.0,30152.0,127725.0,"{'Cash and Bank Accounts': 34934.0, 'Investment Accounts': 87945.0, 'Personal Items': 34998.0}","{'Personal Loan': 22454.0, 'Other Debts': 7698.0}",122879.0,34998.0
APP-2024-0051,85258.0,17639.0,67619.0,"{'Cash and Bank Accounts': 20347.0, 'Investment Accounts': 35331.5, 'Personal Items': 24990.0, 'Other Assets': 4589.5}","{'Credit Card Debt': 11941.5, 'Other Debts': 5697.5}",55678.5,29579.5
APP-2024-0052,387175.5,304219.0,82956.5,"{'Cash and Bank Accounts': 4945.0, 'Investment Accounts': 13886.5, 'Property/Real Estate': 356001.0, 'Personal Items': 6237.5, 'Other Assets': 6105.5}",{'Mortgage': 304219.0},18831.5,368344.0
APP-2024-0053,1094096.0,728662.0,365434.0,"{'Cash and Bank Accounts': 36586.0, 'Investment Accounts': 83843.0, 'Property/Real Estate': 885347.0, 'Vehicle': 60609.0, 'Personal Items': 27711.0}","{'Credit Card Debt': 21648.0, 'Car Loan': 62634.0, 'Mortgage': 644380.0}",120429.0,973667.0
APP-2024-0054,439422.5,455975.0,-16552.5,"{'Cash and Bank Accounts': 13197.5, 'Investment Accounts': 226515.0, 'Vehicle': 94015.0, 'Personal Items': 105695.0}","{'Credit Card Debt': 29292.5, 'Personal Loan': 228470.0, 'Car Loan': 198212.5}",239712.5,199710.0
