application_id,credit_score,credit_rating,total_debt,monthly_obligations,credit_utilization,payment_history,accounts,inquiries,defaults
APP-2024-0001,514,Poor,95046,5931.357481952553,51,80,"[{'type': 'Credit Card', 'balance': 9156, 'limit': 33897, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 63422, 'original_amount': 51961, 'status': 'Current'}]",1,"[{'amount': 9321, 'date': '2023-03-15'}]"
APP-2024-0002,627,Poor,122708,5434.415081766816,19,89,"[{'type': 'Credit Card', 'balance': 13523, 'limit': 46541, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 13316, 'original_amount': 86392, 'status': 'Late 30 days'}]",5,[]
APP-2024-0003,726,Good,156427,9571.189937633344,56,80,"[{'type': 'Credit Card', 'balance': 1255, 'limit': 21640, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 39644, 'original_amount': 78905, 'status': 'Current'}]",1,[]
APP-2024-0004,669,Fair,94303,2877.2379965876808,29,92,"[{'type': 'Credit Card', 'balance': 13652, 'limit': 36281, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 23584, 'original_amount': 91823, 'status': 'Current'}]",0,[]
APP-2024-0005,537,Poor,44451,2986.435299968131,11,90,"[{'type': 'Credit Card', 'balance': 22169, 'limit': 34815, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 71996, 'original_amount': 97733, 'status': 'Current'}]",2,"[{'amount': 6443, 'date': '2023-03-15'}]"
APP-2024-0006,600,Poor,142189,8368.802639088806,29,83,"[{'type': 'Credit Card', 'balance': 21458, 'limit': 40998, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 1888, 'original_amount': 52167, 'status': 'Late 30 days'}]",1,"[{'amount': 5928, 'date': '2023-03-15'}]"
APP-2024-0007,593,Poor,100912,6592.081420084789,47,72,"[{'type': 'Credit Card', 'balance': 5291, 'limit': 20499, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 16566, 'original_amount': 80908, 'status': 'Current'}]",5,"[{'amount': 9256, 'date': '2023-03-15'}]"
APP-2024-0008,725,Good,112847,2549.3689725140484,36,91,"[{'type': 'Credit Card', 'balance': 13747, 'limit': 34976, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 48453, 'original_amount': 71363, 'status': 'Current'}]",1,[]
APP-2024-0009,702,Good,71814,3503.1712166261914,10,76,"[{'type': 'Credit Card', 'balance': 22072, 'limit': 23734, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 11037, 'original_amount': 98886, 'status': 'Current'}]",4,[]
APP-2024-0010,833,Excellent,4810,378.0793708917449,56,82,"[{'type': 'Credit Card', 'balance': 5991, 'limit': 25460, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 25820, 'original_amount': 89220, 'status': 'Late 30 days'}]",2,[]
